season,show_number,episode,viewers_in_millions,winner,runner_up,original_release,original_network,hosted_by,judges,finals_venue,rating
1,18,Top 5 Finalists,12.67,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.16129032258064516
1,19,Top 5 Results,12.05,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.17543859649122806
1,20,Top 4 Finalists,15.29,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.12658227848101264
1,21,Top 4 Results,14.1,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.14084507042253522
1,22,Top 3 Finalists,14.98,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.13333333333333333
1,23,Top 3 Results,16.94,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.12048192771084336
1,24,Top 2 Finalists,18.69,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.1075268817204301
1,25,Season 1 Finale,22.77,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.09345794392523366
2,1,"New York, Miami & Austin Auditions",26.5,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.08064516129032258
2,2,Special: American Idol revisited,23.6,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.08849557522123894
2,3,Pasadena & Detroit Auditions,24.9,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.0847457627118644
2,4,Atlanta & Nashville Auditions,24.1,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.08620689655172414
2,5,Hollywood Week,26,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.07936507936507936
2,6,Top 32: Group 1,20.1,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.10309278350515465
2,7,Top 32: Group 1 results,19.3,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.10638297872340426
2,8,Top 32: Group 2,20,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.10309278350515465
2,9,Top 32: Group 2 results,18.7,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.1111111111111111
2,10,Top 32: Group 3,19.7,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.10869565217391305
2,11,Top 32: Group 3 results,NA,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.13513513513513511
2,12,Special: Best of the Worst,19.5,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.11363636363636363
2,13,Top 32: Group 4,20,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.10309278350515465
2,14,Top 32: Group 4 results,17.1,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.1149425287356322
2,15,Wildcard Show,18.7,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.11764705882352941
2,16,Wildcard Results,18,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.11764705882352941
2,17,Top 12 Perform,22,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.0970873786407767
2,18,Top 12 Results,18.3,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.1149425287356322
2,19,Top 11 Perform,21.1,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.1
2,20,Top 11 Results,17.2,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.12658227848101264
2,21,Top 10 Perform,19.8,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.10638297872340426
2,22,Top 10 Results,19,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.1149425287356322
2,23,Top 9 Perform,21.2,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.10416666666666667
2,24,Top 9 Results,20.3,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.10309278350515465
2,25,Top 8 Perform,20.1,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.10309278350515465
2,26,Top 8 Results,19.2,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.10638297872340426
2,27,Top 7 Perform,20,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.11363636363636363
2,28,Top 7 Results,18.1,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.11904761904761904
2,29,Special: Halfway Home,14.1,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.16129032258064516
2,30,Top 6 Perform,20.6,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.10416666666666667
2,31,Top 6 Results,19.5,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.1075268817204301
2,32,Top 5 Perform,20.4,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.10309278350515465
2,33,Top 5 Results,20.2,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.1111111111111111
2,34,Top 4 Perform,22.2,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.09900990099009901
2,35,Top 4 Results,22.7,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.09615384615384615
2,36,Top 3 Perform,23.4,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.09345794392523366
2,37,Top 3 Results,25.3,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.08771929824561403
2,38,Top 2 Special,16.9,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.13513513513513511
2,39,Top 2 Showdown,25.7,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.08928571428571429
2,40,Finale Pre-show Special,30.4,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.07633587786259542
2,41,American Idol Season 2 Finale,38.1,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Gibson Amphitheatre,0.05952380952380952
3,1,Audition: New York,29,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.07751937984496124
3,2,Audition: Atlanta,28.6,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.08
3,3,Audition: Houston,29.4,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.07874015748031496
3,4,Audition: Los Angeles and San Francisco,29.6,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.07692307692307693
3,5,Audition: Hawaii,28.3,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.08333333333333333
3,6,"Road to Hollywood, Best and Worst of the Rest",21.1,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.10309278350515465
3,7,Hollywood Week: Part 1,30.1,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.07633587786259542
3,8,Hollywood Week: Part 2,28.8,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.07936507936507936
3,9,Top 32: Group 1,26.2,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.0900900900900901
3,10,Top 32: Group 1 Results,24.5,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.09523809523809523
3,11,Top 32: Group 2,25.2,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.09174311926605504
3,12,Top 32: Group 2 Results,22.1,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.1020408163265306
3,13,Top 32: Group 3,26.6,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.08849557522123894
3,14,Top 32: Group 3 Results,23,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.0970873786407767
3,15,"Special: Uncut, Uncensored and Untalented",19.7,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.11764705882352941
3,16,Top 32: Group 4,25.5,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.0900900900900901
3,17,Top 32: Group 4 Results,19.3,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.11764705882352941
3,18,Wildcard,24.6,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.09345794392523366
3,19,Wildcard Results,22,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.10309278350515465
3,20,Top 12 Perform,26.7,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.08849557522123894
3,21,Top 12 Results,22.9,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.10309278350515465
3,22,Top 11 Perform,27,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.08695652173913043
3,23,Top 11 Results,20.4,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.11363636363636363
3,24,Top 10 Perform,25.9,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.11363636363636363
3,25,Top 10 Results,21.9,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.10638297872340426
3,26,Top 9 Perform,23.5,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.09900990099009901
3,27,Top 9 Results,20.6,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.11235955056179775
3,28,Top 8 Perform(1),23.1,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.10309278350515465
3,29,Top 8 Results(1),15.3,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.16129032258064516
3,30,Top 7 Perform,23.4,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.09900990099009901
3,31,Top 7 Results,21.2,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.1075268817204301
3,32,Top 6 Perform,23.4,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.09615384615384615
3,33,Top 6 Results,21.2,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.1075268817204301
3,34,Special: The Final Five,11.7,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.20833333333333334
3,35,Top 5 Perform,22.8,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.1111111111111111
3,36,Top 5 Results,21.2,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.11363636363636363
3,37,Top 4 Perform,23.2,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.10416666666666667
3,38,Top 4 Results,22.3,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.1
3,39,Special: The Final Three,NA,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.23809523809523808
3,40,Top 3 Perform,23.6,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.1
3,41,Top 3 Results,22.4,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.1020408163265306
3,42,Special: The American Idol Phenomenon,10.8,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.27027027027027023
3,43,Top 2 Perform (Finale),25.1,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.09433962264150944
3,44,American Idol Season 3 Finale,28.8,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.08333333333333333
4,1,Washington D.C. Auditions,33.6,Carrie Underwood,Bo Bice,"January 18 (2005-01-18) –May 25, 2005 (2005-05-25)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.07142857142857142
